team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Duke,2Q,6,82,32,2,run,4,not successful,0.28,,0.26,0.67,Q.Harris,,,S.Lee,,1,,18-Q.Harris to BAMA 12 for 4 yards (35-S.Lee).
Duke,2Q,6,83,33,3,pass,,not successful,,0.20,0.25,0.64,,Q.Harris,N.Gray,,,,,18-Q.Harris incomplete. Intended for 87-N.Gray.
Duke,3Q,7,88,36,1,pass,4,not successful,,0.18,0.24,0.62,,Q.Harris,D.Jackson,J.Jobe,,1,,18-Q.Harris complete to 25-D.Jackson. 25-D.Jackson to DUK 24 for 4 yards (28-J.Jobe).
Duke,3Q,7,89,37,2,pass,20,explosive,,0.25,0.27,0.60,,Q.Harris,N.Gray,C.Harris,,1,,18-Q.Harris complete to 87-N.Gray. 87-N.Gray to DUK 44 for 20 yards (8-C.Harris).
Duke,3Q,7,90,38,1,pass,,not successful,,0.23,0.26,0.58,,Q.Harris,J.Calhoun,,,,,18-Q.Harris incomplete. Intended for 5-J.Calhoun.
Duke,3Q,7,91,39,2,run,2,not successful,0.26,,0.25,0.59,Q.Harris,,,C.Harris,R.Davis,0.5,0.5,"18-Q.Harris to DUK 46 for 2 yards (8-C.Harris,99-R.Davis)."
Duke,3Q,7,92,40,3,pass,10,successful,,0.29,0.27,0.58,,Q.Harris,N.Gray,P.Surtain,,1,,18-Q.Harris complete to 87-N.Gray. 87-N.Gray to BAMA 44 for 10 yards (2-P.Surtain).
Duke,3Q,7,93,41,1,pass,,not successful,,0.27,0.26,0.56,,Q.Harris,A.Young,,,,,18-Q.Harris incomplete. Intended for 81-A.Young.
Duke,3Q,7,94,42,2,pass,2,not successful,,0.25,0.26,0.54,,Q.Harris,N.Gray,T.Lewis,S.Lee,0.5,0.5,"18-Q.Harris complete to 87-N.Gray. 87-N.Gray to BAMA 42 for 2 yards (24-T.Lewis,35-S.Lee)."
Duke,3Q,7,95,43,3,pass,5,not successful,,0.24,0.25,0.53,,Q.Harris,N.Gray,X.McKinney,C.Harris,0.5,0.5,"18-Q.Harris complete to 87-N.Gray. 87-N.Gray to BAMA 37 for 5 yards (15-X.McKinney,8-C.Harris)."
Duke,3Q,7,96,44,4,pass,2,not successful,,0.22,0.24,0.51,,Q.Harris,S.Bracey,X.McKinney,,1,,18-Q.Harris complete to 11-S.Bracey. 11-S.Bracey to BAMA 35 for 2 yards (15-X.McKinney).
Alabama,3Q,9,97,46,1,pass,8,successful,,0.71,0.60,0.48,,T.Tagovailoa,J.Jeudy,,,,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy runs ob at BAMA 43 for 8 yards.
Alabama,3Q,9,98,47,2,run,3,successful,0.50,,0.61,0.49,N.Harris,,,L.Johnson,,1,,22-N.Harris to BAMA 46 for 3 yards (33-L.Johnson).
Alabama,3Q,9,99,48,1,pass,6,successful,,0.73,0.62,0.48,,T.Tagovailoa,M.Forristall,J.Waters,,1,,13-T.Tagovailoa complete to 87-M.Forristall. 87-M.Forristall to DUK 48 for 6 yards (7-J.Waters).
Alabama,3Q,9,100,49,2,run,4,successful,0.52,,0.63,0.49,N.Harris,,,D.Singleton,,1,,22-N.Harris pushed ob at DUK 44 for 4 yards (16-D.Singleton).
Alabama,3Q,9,101,50,1,no play,15,successful,,,0.64,,,,,,,,,"Penalty on DUK 92-E.Cerenord, Unsportsmanlike conduct, 15 yards, enforced at DUK 44. No Play."
Alabama,3Q,9,102,51,1,pass,,not successful,,0.70,0.62,0.48,,T.Tagovailoa,J.Jeudy,,,,,13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy.
Alabama,3Q,9,103,52,2,pass,18,explosive,,0.71,0.63,0.47,,T.Tagovailoa,J.Jeudy,D.Singleton,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at DUK 11 for 18 yards (16-D.Singleton).
Alabama,3Q,9,104,53,1,pass,10,successful,,0.72,0.64,0.46,,T.Tagovailoa,J.Jeudy,V.Dimukeje,M.Carter,0.5,0.5,"13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to DUK 1 for 10 yards (51-V.Dimukeje,26-M.Carter)."
Alabama,3Q,9,105,54,1,no play,0,successful,,,0.65,,,,,L.Young,,1,,"24-T.Lewis to DUK 4 for -3 yards (23-L.Young). Team penalty on DUK, 12 players, 0 yards, enforced at DUK 1. No Play."
Alabama,3Q,9,106,55,1,run,0,not successful,0.50,,0.63,0.47,B.Robinson,,,S.Heyward,D.Singleton,0.5,0.5,"24-B.Robinson to DUK 1 for no gain (42-S.Heyward,16-D.Singleton)."
Alabama,3Q,9,107,56,2,pass,1,successful,,0.73,0.64,0.46,,T.Tagovailoa,M.Tennison,,,,, 13-T.Tagovailoa complete to 88-M.Tennison. 88-M.Tennison runs 1 yard for a touchdown.
Duke,3Q,8,110,45,1,pass,,not successful,,0.21,0.24,0.50,,Q.Harris,B.Brown,P.Surtain,,,,"18-Q.Harris complete to 8-B.Brown. 8-B.Brown to DUK 29, FUMBLES (2-P.Surtain). 7-T.Diggs to DUK 28 for no gain."
Alabama,3Q,10,111,57,1,pass,,not successful,,0.70,0.63,0.45,,T.Tagovailoa,J.Waddle,,,,,13-T.Tagovailoa incomplete. Intended for 17-J.Waddle.
Alabama,3Q,10,112,58,2,run,15,explosive,0.52,,0.63,0.46,N.Harris,,,M.Waters,,1,,22-N.Harris pushed ob at DUK 13 for 15 yards (10-M.Waters).
Alabama,3Q,10,113,59,1,no play,5,successful,,,0.64,,,,,,,,,"Penalty on DUK 95-T.McSwain, Offside, 5 yards, enforced at DUK 13. No Play."
Alabama,3Q,10,114,60,1,pass,8,successful,,0.71,0.65,0.45,,T.Tagovailoa,D.Smith,,,,, 13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith runs 8 yards for a touchdown.
Duke,3Q,9,117,46,1,pass,,not successful,,0.20,0.23,0.49,,Q.Harris,A.Young,,,,,18-Q.Harris incomplete. Intended for 81-A.Young.
Duke,3Q,9,119,48,2,run,12,not successful,0.25,,0.23,0.50,D.Jackson,,,T.Lewis,,1,,25-D.Jackson to DUK 25 for 12 yards (24-T.Lewis).
Duke,3Q,9,120,49,3,run,5,not successful,0.24,,0.22,0.51,D.Jackson,,,X.McKinney,L.Ray,0.5,0.5,"25-D.Jackson to DUK 30 for 5 yards (15-X.McKinney,89-L.Ray)."
Alabama,3Q,11,122,61,1,run,0,not successful,0.50,,0.64,0.46,B.Robinson,,,T.McSwain,,1,,24-B.Robinson to BAMA 10 for no gain (95-T.McSwain).
Alabama,3Q,11,123,62,2,pass,14,successful,,0.72,0.64,0.45,,T.Tagovailoa,B.Robinson,C.Rumph,,1,,13-T.Tagovailoa complete to 24-B.Robinson. 24-B.Robinson pushed ob at BAMA 24 for 14 yards (96-C.Rumph).
Alabama,3Q,11,124,63,1,run,1,not successful,0.48,,0.63,0.46,B.Robinson,,,D.Singleton,,1,,24-B.Robinson to BAMA 25 for 1 yard (16-D.Singleton).
Alabama,3Q,11,125,64,2,pass,21,explosive,,0.73,0.64,0.45,,T.Tagovailoa,J.Waddle,K.Quansah,,1,,13-T.Tagovailoa complete to 17-J.Waddle. 17-J.Waddle to BAMA 46 for 21 yards (49-K.Quansah).
Alabama,3Q,11,126,65,1,run,6,successful,0.50,,0.64,0.46,T.Tagovailoa,,,K.Quansah,,1,,13-T.Tagovailoa scrambles to DUK 48 for 6 yards (49-K.Quansah).
Alabama,3Q,11,127,66,2,run,5,successful,0.52,,0.65,0.47,B.Robinson,,,S.Heyward,B.Hill,0.5,0.5,"24-B.Robinson to DUK 43 for 5 yards (42-S.Heyward,32-B.Hill)."
Alabama,3Q,11,128,67,1,run,1,not successful,0.50,,0.64,0.48,B.Robinson,,,D.Jordan,D.Carter,0.5,0.5,"24-B.Robinson to DUK 42 for 1 yard (86-D.Jordan,90-D.Carter)."
Alabama,3Q,11,129,68,2,pass,21,explosive,,0.74,0.65,0.47,,T.Tagovailoa,J.Jeudy,L.Johnson,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to DUK 21 for 21 yards (33-L.Johnson).
Alabama,3Q,11,130,69,1,pass,21,explosive,,0.75,0.65,0.47,,T.Tagovailoa,J.Jeudy,,,,, 13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy runs 21 yards for a touchdown.
Duke,3Q,10,133,51,1,pass,15,successful,,0.24,0.24,0.50,,Q.Harris,A.Young,,,,,"18-Q.Harris incomplete. Intended for 81-A.Young. Penalty on BAMA 28-J.Jobe, Pass interference, 15 yards, enforced at DUK 25. No Play."
Duke,3Q,10,134,52,1,run,2,not successful,0.23,,0.23,0.51,Q.Harris,,,C.Harris,,1,,18-Q.Harris to DUK 42 for 2 yards (8-C.Harris).
Duke,3Q,10,135,53,2,run,8,successful,0.26,,0.25,0.52,D.Jackson,,,X.McKinney,A.Jennings,0.5,0.5,"25-D.Jackson to BAMA 50 for 8 yards (15-X.McKinney,33-A.Jennings)."
Duke,3Q,10,136,54,1,pass,,not successful,,0.23,0.24,0.51,,Q.Harris,,,,,,18-Q.Harris incomplete. INTERCEPTED by 7-T.Diggs at BAMA 26. 7-T.Diggs to BAMA 26 for no gain.
Alabama,3Q,12,138,71,1,run,14,successful,0.52,,0.66,0.48,N.Harris,,,K.Quansah,,1,,22-N.Harris to BAMA 27 for 14 yards (49-K.Quansah).
Alabama,4Q,13,139,72,1,pass,9,successful,,0.76,0.66,0.47,,M.Jones,J.Waddle,S.Heyward,,1,,10-M.Jones complete to 17-J.Waddle. 17-J.Waddle pushed ob at BAMA 36 for 9 yards (42-S.Heyward).
