team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Mississippi State,2Q,6,83,28,1,Normal,penalty,10,successful,,,0.35,,,,,P.Surtain,,1,,"8-K.Hill pushed ob at MSST 28 for 2 yards (2-P.Surtain). Penalty on MSST 78-T.Phillips, Holding, 10 yards, enforced at MSST 28."
Mississippi State,2Q,6,84,29,1,Red Zone,pass,0,not successful,,0.20,0.33,0.57,,T.Stevens,K.Hill,S.Carter,,1,,7-T.Stevens complete to 8-K.Hill. 8-K.Hill to MSST 18 for no gain (5-S.Carter).
Mississippi State,2Q,6,85,30,2,Red Zone,pass,5,not successful,,0.18,0.32,0.54,,T.Stevens,N.Gibson,A.Jennings,S.Lee,0.5,0.5,"7-T.Stevens complete to 21-N.Gibson. 21-N.Gibson to MSST 23 for 5 yards (33-A.Jennings,35-S.Lee)."
Mississippi State,2Q,6,86,31,3,Normal,run,2,not successful,0.36,,0.31,0.56,T.Stevens,,,C.Barmore,R.Davis,0.5,0.5,"7-T.Stevens scrambles to MSST 25 for 2 yards (58-C.Barmore,99-R.Davis)."
Mississippi State,3Q,7,89,33,1,Normal,run,4,not successful,0.33,,0.30,0.58,K.Hill,,,T.Diggs,,1,,8-K.Hill pushed ob at MSST 29 for 4 yards (7-T.Diggs).
Mississippi State,3Q,7,90,34,2,Normal,run,46,explosive,0.38,,0.32,0.59,T.Stevens,,,P.Surtain,,1,,7-T.Stevens to BAMA 25 for 46 yards (2-P.Surtain).
Mississippi State,3Q,7,91,35,1,Normal,run,1,not successful,0.35,,0.31,0.61,K.Hill,,,B.Young,P.Mathis,0.5,0.5,"8-K.Hill to BAMA 24 for 1 yard (47-B.Young,48-P.Mathis)."
Mississippi State,3Q,7,92,36,2,Normal,pass,5,not successful,,0.17,0.30,0.59,,T.Stevens,D.Thomas,S.Carter,,1,,7-T.Stevens complete to 2-D.Thomas. 2-D.Thomas pushed ob at BAMA 19 for 5 yards (5-S.Carter).
Mississippi State,3Q,7,93,37,3,Normal,run,2,not successful,0.33,,0.29,0.60,T.Stevens,,,X.McKinney,,1,,7-T.Stevens to BAMA 17 for 2 yards (15-X.McKinney).
Mississippi State,3Q,7,94,38,4,Normal,run,1,not successful,0.32,,0.28,0.61,K.Hill,,,A.Jennings,C.Harris,0.5,0.5,"8-K.Hill to BAMA 16 for 1 yard (33-A.Jennings,8-C.Harris)."
Alabama,3Q,8,95,43,1,Red Zone,pass,10,successful,,0.55,0.58,0.46,,M.Jones,J.Jeudy,E.Thompson,,1,,10-M.Jones complete to 4-J.Jeudy. 4-J.Jeudy to BAMA 25 for 10 yards (40-E.Thompson).
Alabama,3Q,8,96,44,1,Normal,run,20,explosive,0.61,,0.59,0.47,N.Harris,,,T.Williams,F.Lovett,0.5,0.5,"22-N.Harris to BAMA 45 for 20 yards (13-T.Williams,54-F.Lovett)."
Alabama,3Q,8,97,45,1,Normal,pass,9,successful,,0.57,0.60,0.46,,M.Jones,N.Harris,C.Rivers,L.Lewis,0.5,0.5,"10-M.Jones complete to 22-N.Harris. 22-N.Harris to MSST 46 for 9 yards (5-C.Rivers,10-L.Lewis)."
Alabama,3Q,8,98,46,2,Normal,run,9,successful,0.63,,0.61,0.48,N.Harris,,,S.Preston,T.Williams,0.5,0.5,"22-N.Harris to MSST 37 for 9 yards (12-S.Preston,13-T.Williams)."
Alabama,3Q,8,99,47,1,Normal,pass,26,explosive,,0.59,0.62,0.46,,M.Jones,H.Ruggs,S.Preston,,1,,10-M.Jones complete to 11-H.Ruggs. 11-H.Ruggs pushed ob at MSST 11 for 26 yards (12-S.Preston).
Alabama,3Q,8,100,48,1,Normal,run,-1,not successful,0.60,,0.60,0.48,N.Harris,,,E.Thompson,L.Lewis,0.5,0.5,"22-N.Harris to MSST 12 for -1 yard (40-E.Thompson,10-L.Lewis)."
Alabama,3Q,8,101,49,2,Normal,run,1,not successful,0.57,,0.59,0.49,N.Harris,,,M.Spencer,,1,,22-N.Harris to MSST 11 for 1 yard (42-M.Spencer).
Alabama,3Q,8,102,50,3,Normal,pass,7,not successful,,0.57,0.58,0.48,,M.Jones,H.Ruggs,E.Thompson,F.Peters,0.5,0.5,"10-M.Jones complete to 11-H.Ruggs. 11-H.Ruggs to MSST 4 for 7 yards (40-E.Thompson,38-F.Peters)."
Mississippi State,3Q,8,105,39,1,Normal,run,6,successful,0.35,,0.30,0.63,K.Hill,,,C.Harris,P.Mathis,0.5,0.5,"8-K.Hill to MSST 31 for 6 yards (8-C.Harris,48-P.Mathis)."
