team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Oklahoma,4Q,11,138,60,1,run,8,successful,0.43,,0.40,0.51,K.Brooks,,,J.Ossai,,1,,26-K.Brooks to TEX 31 for 8 yards (46-J.Ossai).
Oklahoma,4Q,11,139,61,2,run,4,successful,0.45,,0.41,0.52,K.Brooks,,,J.Ossai,J.Mitchell,0.5,0.5,"26-K.Brooks to TEX 27 for 4 yards (46-J.Ossai,6-J.Mitchell)."
Oklahoma,4Q,11,140,62,1,pass,27,explosive,,0.39,0.42,0.51,,J.Hurts,C.Lamb,,,,, 1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb runs 27 yards for a touchdown.
Texas,4Q,11,143,67,1,pass,-8,not successful,,0.30,0.35,0.43,,S.Ehlinger,,M.Overton,,1,,11-S.Ehlinger sacked at TEX 17 for -8 yards (97-M.Overton).
Texas,4Q,11,144,68,2,pass,11,not successful,,0.29,0.34,0.43,,S.Ehlinger,R.Johnson,J.Perkins,,1,,11-S.Ehlinger complete to 2-R.Johnson. 2-R.Johnson to TEX 28 for 11 yards (29-J.Perkins).
Texas,4Q,11,145,69,3,pass,12,successful,,0.31,0.35,0.42,,S.Ehlinger,C.Johnson,P.Fields,T.Brown,0.5,0.5,"11-S.Ehlinger complete to 9-C.Johnson. 9-C.Johnson to TEX 40 for 12 yards (10-P.Fields,6-T.Brown)."
Texas,4Q,11,146,70,1,pass,,not successful,,0.30,0.34,0.41,,S.Ehlinger,M.Epps,,,,,11-S.Ehlinger incomplete. Intended for 85-M.Epps.
Texas,4Q,11,147,71,2,pass,12,successful,,0.32,0.36,0.40,,S.Ehlinger,D.Duvernay,P.Fields,,1,,11-S.Ehlinger complete to 6-D.Duvernay. 6-D.Duvernay to OKL 48 for 12 yards (10-P.Fields).
Texas,4Q,11,148,72,1,pass,6,successful,,0.34,0.37,0.40,,S.Ehlinger,M.Epps,T.Brown,,1,,11-S.Ehlinger complete to 85-M.Epps. 85-M.Epps to OKL 42 for 6 yards (6-T.Brown).
Texas,4Q,11,150,74,2,pass,10,successful,,0.36,0.38,0.39,,S.Ehlinger,M.Epps,J.Davis,,1,,11-S.Ehlinger complete to 85-M.Epps. 85-M.Epps to OKL 37 for 10 yards (4-J.Davis).
Texas,4Q,11,151,75,1,pass,15,successful,,0.38,0.39,0.38,,S.Ehlinger,D.Duvernay,,,,,"11-S.Ehlinger incomplete. Intended for 6-D.Duvernay. Penalty on OKL 10-P.Fields, Pass interference, 15 yards, enforced at OKL 37. No Play."
Texas,4Q,11,152,76,1,pass,,not successful,,0.37,0.38,0.38,,S.Ehlinger,J.Burt,,,,,11-S.Ehlinger incomplete. Intended for 1-J.Burt.
Texas,4Q,11,153,77,2,pass,10,successful,,0.38,0.39,0.37,,S.Ehlinger,D.Duvernay,D.Turner-Yell,,1,,11-S.Ehlinger complete to 6-D.Duvernay. 6-D.Duvernay pushed ob at OKL 12 for 10 yards (32-D.Turner-Yell).
Texas,4Q,11,154,78,1,pass,-3,not successful,,0.38,0.38,0.37,,S.Ehlinger,,N.Gallimore,,1,,11-S.Ehlinger sacked at OKL 15 for -3 yards (90-N.Gallimore).
Texas,4Q,11,155,79,2,run,1,not successful,0.33,,0.38,0.38,S.Ehlinger,,,N.Gallimore,N.Bonitto,0.5,0.5,"11-S.Ehlinger to OKL 14 for 1 yard (90-N.Gallimore,35-N.Bonitto)."
Texas,4Q,11,156,80,3,pass,,not successful,,0.37,0.37,0.37,,S.Ehlinger,B.Eagles,,,,,11-S.Ehlinger incomplete. Intended for 13-B.Eagles.
Oklahoma,4Q,12,159,63,1,run,42,explosive,0.47,,0.43,0.52,K.Brooks,,,J.Ossai,,1,,26-K.Brooks to TEX 33 for 42 yards (46-J.Ossai).
Oklahoma,4Q,12,160,64,1,run,24,explosive,0.48,,0.44,0.53,R.Stevenson,,,A.Adeoye,,1,,29-R.Stevenson to TEX 9 for 24 yards (40-A.Adeoye).
Oklahoma,4Q,12,161,65,1,run,6,successful,0.50,,0.45,0.53,K.Brooks,,,J.Ossai,,1,,26-K.Brooks to TEX 3 for 6 yards (46-J.Ossai).
Oklahoma,4Q,12,162,66,2,run,0,not successful,0.48,,0.44,0.54,J.Hurts,,,J.Ossai,T.Bennett,0.5,0.5,"1-J.Hurts to TEX 3 for no gain (46-J.Ossai,96-T.Bennett)."
Oklahoma,4Q,12,163,67,3,run,3,successful,0.50,,0.45,0.55,J.Hurts,,,,,,, 1-J.Hurts runs 3 yards for a touchdown.
