team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Tennessee,4Q,11,139,64,1,Normal,run,5,successful,0.42,,0.42,0.46,T.Jordan,,,T.Musika,R.Davis,0.5,0.5,"9-T.Jordan to BAMA 42 for 5 yards (91-T.Musika,99-R.Davis)."
Tennessee,4Q,11,140,65,2,Normal,run,0,not successful,0.40,,0.41,0.47,T.Jordan,,,A.Jennings,,1,,9-T.Jordan to BAMA 42 for no gain (33-A.Jennings).
Tennessee,4Q,11,141,66,3,Normal,pass,8,successful,,0.41,0.42,0.46,,J.Guarantano,T.Chandler,M.Benton,,1,,2-J.Guarantano complete to 8-T.Chandler. 8-T.Chandler pushed ob at BAMA 34 for 8 yards (36-M.Benton).
Tennessee,4Q,11,142,67,1,Normal,run,-1,not successful,0.38,,0.41,0.47,T.Chandler,,,C.Harris,,1,,8-T.Chandler to BAMA 35 for -1 yard (8-C.Harris).
Tennessee,4Q,11,144,69,2,Normal,pass,6,not successful,,0.40,0.40,0.46,,J.Guarantano,D.Wood-Anderson,C.Harris,,1,,2-J.Guarantano complete to 4-D.Wood-Anderson. 4-D.Wood-Anderson to BAMA 34 for 6 yards (8-C.Harris).
Tennessee,4Q,11,145,70,3,Normal,pass,15,successful,,0.42,0.41,0.46,,J.Guarantano,M.Callaway,,,,,"2-J.Guarantano incomplete. Intended for 1-M.Callaway. Penalty on BAMA 2-P.Surtain, Pass interference, 15 yards, enforced at BAMA 34. No Play."
Tennessee,4Q,11,146,71,1,Red Zone,run,8,successful,0.41,,0.42,0.47,T.Jordan,,,T.Diggs,J.Mayden,0.5,0.5,"9-T.Jordan to BAMA 11 for 8 yards (7-T.Diggs,21-J.Mayden)."
Tennessee,4Q,11,147,72,2,Red Zone,run,9,successful,0.43,,0.43,0.47,T.Jordan,,,X.McKinney,,1,,9-T.Jordan pushed ob at BAMA 2 for 9 yards (15-X.McKinney).
Tennessee,4Q,11,148,73,1,Red Zone,run,-1,not successful,0.41,,0.43,0.48,T.Jordan,,,D.Dale,,1,,9-T.Jordan to BAMA 3 for -1 yard (94-D.Dale).
Tennessee,4Q,11,149,74,2,Red Zone,run,1,not successful,0.40,,0.42,0.49,T.Jordan,,,A.Jennings,,1,,9-T.Jordan to BAMA 2 for 1 yard (33-A.Jennings).
Tennessee,4Q,11,150,75,3,Red Zone,run,1,not successful,0.39,,0.41,0.50,C.Fils-aime,,,S.Lee,B.Young,0.5,0.5,"27-C.Fils-aime to BAMA 1 for 1 yard (35-S.Lee,47-B.Young)."
