team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
South Carolina,3Q,8,128,70,3,Normal,pass,4,successful,,0.43,0.47,0.30,,R.Hilinski,B.Edwards,P.Surtain,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 48 for 4 yards (2-P.Surtain).
South Carolina,3Q,8,129,71,1,Normal,pass,,not successful,,0.42,0.46,0.30,,R.Hilinski,,A.Jennings,,,,"3-R.Hilinski sacked at BAMA 47 for 5 yards, FUMBLES (33-A.Jennings). 94-D.Dale to BAMA 47 for no gain."
Alabama,3Q,9,130,44,1,Normal,pass,-10,not successful,,0.43,0.45,0.21,,T.Tagovailoa,J.Jeudy,,,,,"13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to SC 40 for 13 yards. Penalty on BAMA 10-M.Jones, Holding, 10 yards, enforced at SC 40."
Alabama,3Q,9,131,45,1,Normal,run,11,successful,0.56,,0.46,0.23,B.Robinson,,,E.Jones,,1,,24-B.Robinson to SC 39 for 11 yards (53-E.Jones).
Alabama,3Q,9,132,46,1,Normal,run,3,not successful,0.50,,0.45,0.25,B.Robinson,,,J.Kinlaw,,1,,24-B.Robinson to SC 36 for 3 yards (3-J.Kinlaw).
Alabama,3Q,9,133,47,2,Normal,run,5,successful,0.55,,0.46,0.27,B.Robinson,,,J.Kinlaw,,1,,24-B.Robinson to SC 31 for 5 yards (3-J.Kinlaw).
Alabama,3Q,9,134,48,3,Normal,run,2,successful,0.58,,0.48,0.29,S.Bolden,,,K.Smith,,1,,18-S.Bolden to SC 29 for 2 yards (95-K.Smith).
Alabama,3Q,9,135,49,1,Normal,pass,7,successful,,0.45,0.49,0.28,,T.Tagovailoa,M.Forristall,,,,,13-T.Tagovailoa complete to 87-M.Forristall. 87-M.Forristall to SC 22 for 7 yards.
Alabama,3Q,9,136,50,2,Normal,pass,,not successful,,0.44,0.48,0.27,,T.Tagovailoa,J.Jeudy,,,,,13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy.
Alabama,3Q,9,137,51,3,Normal,pass,6,successful,,0.45,0.49,0.27,,T.Tagovailoa,J.Jeudy,I.Mukuamu,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at SC 16 for 6 yards (24-I.Mukuamu).
Alabama,3Q,9,138,52,1,Red Zone,pass,12,successful,,0.47,0.50,0.26,,T.Tagovailoa,M.Tennison,R.Roderick,,1,,13-T.Tagovailoa complete to 88-M.Tennison. 88-M.Tennison pushed ob at SC 4 for 12 yards (10-R.Roderick).
Alabama,3Q,9,139,53,1,Red Zone,run,-2,not successful,0.54,,0.49,0.28,N.Harris,,,E.Jones,,1,,22-N.Harris to SC 6 for -2 yards (53-E.Jones).
Alabama,3Q,9,140,54,2,Red Zone,pass,4,not successful,,0.46,0.48,0.27,,T.Tagovailoa,J.Jeudy,I.Mukuamu,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at SC 2 for 4 yards (24-I.Mukuamu).
Alabama,3Q,9,141,55,3,Red Zone,run,-1,not successful,0.50,,0.47,0.29,B.Robinson,,,E.Jones,,1,,24-B.Robinson to SC 3 for -1 yard (53-E.Jones).
South Carolina,3Q,9,144,72,1,Normal,run,12,successful,0.53,,0.47,0.31,R.Dowdle,,,X.McKinney,J.Mayden,0.5,0.5,"5-R.Dowdle to SC 37 for 12 yards (15-X.McKinney,21-J.Mayden)."
South Carolina,3Q,9,145,73,1,Normal,run,33,explosive,0.55,,0.48,0.32,R.Dowdle,,,J.Mayden,,1,,5-R.Dowdle to BAMA 30 for 33 yards (21-J.Mayden).
South Carolina,3Q,9,146,74,1,Normal,pass,,not successful,,0.41,0.47,0.31,,R.Hilinski,N.Muse,,,,,3-R.Hilinski incomplete. Intended for 9-N.Muse.
South Carolina,3Q,9,147,75,2,Normal,pass,,not successful,,0.40,0.46,0.31,,R.Hilinski,O.Smith,,,,,3-R.Hilinski incomplete. Intended for 18-O.Smith.
South Carolina,4Q,10,148,76,3,Normal,pass,,not successful,,0.39,0.46,0.30,,R.Hilinski,K.Markway,,,,,3-R.Hilinski incomplete. Intended for 84-K.Markway.
Alabama,4Q,10,151,57,1,Normal,pass,18,explosive,,0.47,0.48,0.28,,T.Tagovailoa,H.Ruggs,I.Mukuamu,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to SC 22 for 18 yards (24-I.Mukuamu).
Alabama,4Q,10,152,58,1,Normal,pass,11,successful,,0.49,0.49,0.27,,T.Tagovailoa,N.Harris,I.Mukuamu,T.Brunson,0.5,0.5,"13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris to SC 11 for 11 yards (24-I.Mukuamu,6-T.Brunson)."
Alabama,4Q,10,153,59,1,Red Zone,pass,11,successful,,0.50,0.50,0.27,,T.Tagovailoa,D.Smith,,,,, 13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith runs 11 yards for a touchdown.
