team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Florida,4Q,14,141,75,2,pass,32,explosive,,0.38,0.33,0.29,,K.Trask,K.Pitts,N.Igbinoghene,Z.McClain,0.5,0.5,"11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to AUB 46 for 32 yards (4-N.Igbinoghene,35-Z.McClain)."
Florida,4Q,14,142,76,1,run,1,not successful,0.21,,0.32,0.30,M.Davis,,,D.Newkirk,,1,,20-M.Davis to AUB 45 for 1 yard (44-D.Newkirk).
Florida,4Q,14,143,77,2,pass,10,successful,,0.39,0.33,0.29,,K.Trask,J.Hammond,N.Igbinoghene,,1,,11-K.Trask complete to 10-J.Hammond. 10-J.Hammond to AUB 35 for 10 yards (4-N.Igbinoghene).
Florida,4Q,14,144,78,1,pass,17,explosive,,0.40,0.34,0.29,,K.Trask,K.Pitts,R.McCreary,,1,,11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to AUB 18 for 17 yards (23-R.McCreary).
Florida,4Q,14,145,79,1,run,-2,not successful,0.20,,0.34,0.30,K.Trask,,,K.Britt,D.Hall,0.5,0.5,"11-K.Trask to AUB 20 for -2 yards (33-K.Britt,29-D.Hall)."
Florida,4Q,14,146,80,2,pass,,not successful,,0.40,0.33,0.29,,K.Trask,,D.Brown,,,,"11-K.Trask sacked at AUB 29 for -9 yards, FUMBLES (5-D.Brown). 5-D.Brown to AUB 40 for 11 yards."
Auburn,4Q,13,147,56,1,run,6,successful,0.29,,0.25,0.55,J.Whitlow,,,V.Miller,D.Stiner,0.5,0.5,"28-J.Whitlow to AUB 46 for 6 yards (51-V.Miller,13-D.Stiner)."
Auburn,4Q,13,148,57,2,run,16,explosive,0.32,,0.27,0.56,J.Whitlow,,,A.Shuler,,1,,28-J.Whitlow to FLA 38 for 16 yards (88-A.Shuler).
Auburn,4Q,13,149,58,1,run,2,not successful,0.31,,0.26,0.57,B.Nix,,,S.Davis,,1,,"10-B.Nix scrambles, pushed ob at FLA 36 for 2 yards (31-S.Davis)."
Auburn,4Q,13,150,59,2,pass,,not successful,,0.19,0.26,0.55,,B.Nix,S.Cannella,,,,,10-B.Nix incomplete. Intended for 80-S.Cannella.
Auburn,4Q,13,151,60,3,pass,-22,not successful,,0.18,0.25,0.54,,B.Nix,,Z.Carter,,1,,10-B.Nix sacked at AUB 42 for -22 yards (17-Z.Carter).
Florida,4Q,15,153,81,1,run,88,explosive,0.24,,0.34,0.30,L.Perine,,,,,,, 2-L.Perine runs 88 yards for a touchdown.
Auburn,4Q,14,156,62,1,run,3,not successful,0.30,,0.24,0.55,J.Whitlow,,,S.Davis,Z.Carter,0.5,0.5,"28-J.Whitlow to AUB 28 for 3 yards (31-S.Davis,17-Z.Carter)."
Auburn,4Q,14,157,63,2,pass,5,successful,,0.22,0.26,0.54,,B.Nix,J.Wilson,C.Henderson,,1,,10-B.Nix complete to 42-J.Wilson. 42-J.Wilson pushed ob at AUB 33 for 5 yards (1-C.Henderson).
Auburn,4Q,14,158,64,3,run,4,successful,0.32,,0.27,0.55,J.Whitlow,,,D.Reese II,B.Stewart,0.5,0.5,"28-J.Whitlow to AUB 37 for 4 yards (33-D.Reese II,2-B.Stewart)."
Auburn,4Q,14,159,65,1,run,10,successful,0.34,,0.29,0.56,B.Nix,,,A.Burney,,1,,10-B.Nix scrambles to AUB 47 for 10 yards (30-A.Burney).
Auburn,4Q,14,160,66,1,run,4,not successful,0.33,,0.28,0.57,J.Whitlow,,,S.Davis,D.Reese II,0.5,0.5,"28-J.Whitlow to FLA 49 for 4 yards (31-S.Davis,33-D.Reese II)."
Auburn,4Q,14,161,67,2,pass,-6,not successful,,0.21,0.28,0.56,,B.Nix,,J.Houston,,1,,10-B.Nix sacked at AUB 45 for -6 yards (41-J.Houston).
Auburn,4Q,14,162,68,3,pass,,not successful,,0.20,0.27,0.55,,B.Nix,W.Hastings,,,,,10-B.Nix incomplete. Intended for 33-W.Hastings.
Auburn,4Q,14,163,69,4,run,6,not successful,0.32,,0.27,0.55,B.Nix,,,A.Shuler,J.Houston,0.5,0.5,"10-B.Nix scrambles to FLA 49 for 6 yards (88-A.Shuler,41-J.Houston)."
Florida,4Q,16,164,82,1,run,3,not successful,0.23,,0.34,0.31,L.Perine,,,D.Brown,J.Dinson,0.5,0.5,"2-L.Perine to AUB 48 for 3 yards (5-D.Brown,20-J.Dinson)."
Florida,4Q,16,165,83,2,run,6,successful,0.26,,0.35,0.32,J.Hammond,,,C.Johnson,,1,,10-J.Hammond to AUB 42 for 6 yards (45-C.Johnson).
Florida,4Q,16,166,84,3,pass,4,successful,,0.41,0.36,0.32,,L.Krull,K.Trask,D.Thomas,,1,,7-L.Krull complete to 11-K.Trask. 11-K.Trask to AUB 38 for 4 yards (24-D.Thomas).
Florida,4Q,16,167,85,1,run,2,not successful,0.25,,0.35,0.33,K.Trask,,,K.Britt,J.Dinson,0.5,0.5,"11-K.Trask to AUB 36 for 2 yards (33-K.Britt,20-J.Dinson)."
Florida,4Q,16,168,86,2,run,1,not successful,0.24,,0.35,0.34,L.Perine,,,J.Sherwood,D.Brown,0.5,0.5,"2-L.Perine to AUB 35 for 1 yard (9-J.Sherwood,5-D.Brown)."
Florida,4Q,16,169,87,3,run,0,not successful,0.23,,0.34,0.35,K.Trask,,,D.Brown,Z.McClain,0.5,0.5,"11-K.Trask to AUB 35 for no gain (5-D.Brown,35-Z.McClain)."
Auburn,4Q,15,171,70,1,pass,10,successful,,0.23,0.28,0.54,,B.Nix,M.Miller,M.Diabate,,1,,10-B.Nix complete to 32-M.Miller. 32-M.Miller pushed ob at AUB 20 for 10 yards (11-M.Diabate).
Auburn,4Q,15,172,71,1,pass,,not successful,,0.22,0.28,0.53,,B.Nix,W.Hastings,,,,,10-B.Nix incomplete. Intended for 33-W.Hastings.
Auburn,4Q,15,173,72,2,pass,12,successful,,0.25,0.29,0.53,,B.Nix,M.Miller,S.Davis,,1,,10-B.Nix complete to 32-M.Miller. 32-M.Miller to AUB 32 for 12 yards (31-S.Davis).
Auburn,4Q,15,174,73,1,pass,,not successful,,0.24,0.28,0.52,,B.Nix,W.Hastings,,,,,"10-B.Nix incomplete. Intended for 33-W.Hastings, INTERCEPTED by 3-M.Wilson at FLA 47. 3-M.Wilson to FLA 47 for no gain."
Florida,4Q,17,175,89,1,run,6,successful,0.26,,0.35,0.36,L.Perine,,,K.Britt,B.Bryant,0.5,0.5,"2-L.Perine to AUB 47 for 6 yards (33-K.Britt,1-B.Bryant)."
Florida,4Q,17,176,90,2,run,-2,not successful,0.25,,0.35,0.36,L.Perine,,,D.Thomas,T.Truesdell,0.5,0.5,"2-L.Perine to AUB 49 for -2 yards (24-D.Thomas,94-T.Truesdell)."
Florida,4Q,17,177,91,3,run,1,not successful,0.24,,0.34,0.37,L.Perine,,,N.Coe,T.Truesdell,0.5,0.5,"2-L.Perine to AUB 48 for 1 yard (91-N.Coe,94-T.Truesdell)."
Auburn,4Q,16,179,74,1,run,15,explosive,0.34,,0.30,0.52,K.Martin,,,K.Bogle,S.Davis,0.5,0.5,"9-K.Martin to AUB 35 for 15 yards (97-K.Bogle,31-S.Davis)."
