team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Georgia,2Q,6,77,38,3,pass,10,successful,,0.41,0.53,0.51,,J.Fromm,L.Cager,J.Horn,,1,,11-J.Fromm complete to 15-L.Cager. 15-L.Cager to UGA 41 for 10 yards (1-J.Horn).
Georgia,2Q,6,78,39,1,pass,6,successful,,0.44,0.54,0.50,,J.Fromm,G.Pickens,T.Brunson,,1,,11-J.Fromm complete to 1-G.Pickens. 1-G.Pickens to UGA 47 for 6 yards (6-T.Brunson).
Georgia,2Q,6,79,40,2,pass,,not successful,,0.42,0.53,0.49,,J.Fromm,,,,,, 11-J.Fromm incomplete. INTERCEPTED by 24-I.Mukuamu at SC 47. 24-I.Mukuamu runs 53 yards for a touchdown.
Georgia,2Q,7,82,41,1,run,14,successful,0.63,,0.54,0.50,D.Swift,,,E.Jones,,1,,7-D.Swift to UGA 39 for 14 yards (53-E.Jones).
Georgia,2Q,7,83,42,1,pass,,not successful,,0.40,0.53,0.49,,J.Fromm,D.Swift,,,,,11-J.Fromm incomplete. Intended for 7-D.Swift.
Georgia,2Q,7,84,43,2,pass,,not successful,,0.38,0.51,0.48,,J.Fromm,T.Simmons,,,,,11-J.Fromm incomplete. Intended for 87-T.Simmons.
Georgia,2Q,7,85,44,3,pass,12,successful,,0.41,0.52,0.46,,J.Fromm,L.Cager,J.Horn,,1,,11-J.Fromm complete to 15-L.Cager. 15-L.Cager to SC 49 for 12 yards (1-J.Horn).
Georgia,2Q,7,86,45,1,pass,-6,not successful,,0.39,0.51,0.45,,J.Fromm,,J.Kinlaw,,1,,11-J.Fromm sacked at UGA 45 for -6 yards (3-J.Kinlaw).
Georgia,2Q,7,87,46,2,pass,19,explosive,,0.42,0.52,0.44,,J.Fromm,G.Pickens,T.Brunson,I.Mukuamu,0.5,0.5,"11-J.Fromm complete to 1-G.Pickens. 1-G.Pickens to SC 36 for 19 yards (6-T.Brunson,24-I.Mukuamu)."
Georgia,2Q,7,88,47,2,pass,,not successful,,0.40,0.51,0.43,,J.Fromm,C.Woerner,,,,,11-J.Fromm incomplete. Intended for 89-C.Woerner.
South Carolina,3Q,6,91,33,1,run,17,explosive,0.45,,0.43,0.39,R.Dowdle,,,W.Grant,,1,,5-R.Dowdle to SC 42 for 17 yards (84-W.Grant).
South Carolina,3Q,6,92,34,1,run,5,successful,0.50,,0.45,0.41,R.Dowdle,,,M.Barnett,T.Crowder,0.5,0.5,"5-R.Dowdle to SC 47 for 5 yards (94-M.Barnett,30-T.Crowder)."
South Carolina,3Q,6,93,35,2,pass,,not successful,,0.39,0.43,0.40,,R.Hilinski,B.Edwards,,,,,3-R.Hilinski incomplete. Intended for 89-B.Edwards.
South Carolina,3Q,6,94,36,3,pass,,not successful,,0.37,0.42,0.39,,R.Hilinski,,,,,,3-R.Hilinski incomplete.
Georgia,3Q,8,96,49,1,run,2,not successful,0.60,,0.50,0.44,D.Swift,,,I.Mukuamu,,1,,7-D.Swift to UGA 12 for 2 yards (24-I.Mukuamu).
Georgia,3Q,8,97,50,2,run,2,not successful,0.57,,0.49,0.46,Z.White,,,D.Wonnum,,1,,3-Z.White to UGA 14 for 2 yards (79-D.Wonnum).
