team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,run_xr,pass_sr,pass_xr,total_sr,total_xr,run_rate,runner,passer,receiver,play_description
Alabama,3Q,9,93,51,3,Normal,run,1,not successful,0.55,0.14,,,0.59,0.16,0.59,Lacy,,,Lacy rush left for 1 yard to the ND37.
Alabama,3Q,9,94,52,4,Normal,run,3,successful,0.57,0.13,,,0.60,0.16,0.60,Lacy,,,Lacy rush middle for 3 yards to the ND34.
Alabama,3Q,9,95,53,1,Normal,pass,34,explosive,,,0.67,0.24,0.61,0.18,0.59,,McCarron,Cooper, McCarron pass completion to the right to Cooper for 34 yards for a TOUCHDOWN.
Notre Dame,3Q,9,97,36,1,Normal,pass,12,successful,,,0.48,0.10,0.44,0.09,0.32,,Golson,Daniels,Golson pass completion to the left to Daniels for 12 yards to the ND27.
Notre Dame,3Q,9,98,37,1,Normal,pass,16,explosive,,,0.50,0.14,0.45,0.12,0.31,,Golson,Eifert,Golson pass completion to the left to Eifert for 16 yards to the ND43.
Notre Dame,3Q,9,99,38,1,Normal,pass,,not successful,,,0.48,0.13,0.44,0.12,0.30,,Golson,,Golson incomplete pass to the right.
Notre Dame,3Q,9,100,39,2,Normal,run,-6,not successful,0.36,0.09,,,0.43,0.11,0.32,Wood,,,Wood rush for -6 yards to the ND37.
Notre Dame,3Q,9,101,40,3,Normal,pass,31,explosive,,,0.50,0.17,0.44,0.14,0.31,,Golson,Jones,Golson pass completion to the right to Jones for 31 yards to the Ala32.
Notre Dame,3Q,9,102,41,1,Red Zone,pass,,not successful,,,0.48,0.16,0.43,0.14,0.31,,Golson,,Golson incomplete pass to the right.
Notre Dame,3Q,9,103,42,2,Red Zone,pass,14,successful,,,0.50,0.15,0.45,0.13,0.30,,Golson,Jones,Golson pass completion to the left to Jones for 14 yards to the Ala3.
Notre Dame,3Q,9,104,43,1,Red Zone,run,1,not successful,0.33,0.08,,,0.44,0.13,0.32,Riddick,,,Riddick rush middle for 1 yard to the Ala2.
Notre Dame,3Q,9,105,44,2,Red Zone,run,2,successful,0.38,0.08,,,0.45,0.13,0.33,Golson,,, Golson rush left for 2 yards for a TOUCHDOWN.
Alabama,3Q,10,107,54,1,Red Zone,run,8,successful,0.58,0.13,,,0.62,0.17,0.60,Yeldon,,,Yeldon rush right for 8 yards to the Ala22.
Alabama,3Q,10,108,55,2,Normal,run,3,successful,0.59,0.13,,,0.62,0.17,0.60,Yeldon,,,Yeldon rush for 3 yards to the Ala25.
Alabama,3Q,10,109,56,2,Red Zone,run,10,successful,0.61,0.12,,,0.63,0.17,0.61,Yeldon,,,Yeldon rush right for 10 yards to the Ala25.
Alabama,3Q,10,110,57,1,Normal,run,6,successful,0.62,0.12,,,0.64,0.16,0.62,Yeldon,,,Yeldon rush right for 6 yards to the Ala31.
Alabama,3Q,10,111,58,2,Normal,run,6,successful,0.63,0.11,,,0.64,0.16,0.63,Lacy,,,Lacy rush right for 6 yards to the Ala37.
Alabama,3Q,10,112,59,1,Normal,run,4,not successful,0.61,0.11,,,0.63,0.16,0.63,Lacy,,,Lacy rush for 4 yards to the Ala41.
Alabama,3Q,10,113,60,2,Normal,pass,10,successful,,,0.68,0.23,0.64,0.16,0.62,,McCarron,Cooper,McCarron pass completion to the right to Cooper for 10 yards to the ND49.
Alabama,4Q,11,114,61,1,Normal,run,-3,not successful,0.59,0.11,,,0.63,0.15,0.63,Lacy,,, Lacy rush right for -3 yards to the Ala48.
Alabama,4Q,11,115,62,2,Normal,pass,5,not successful,,,0.65,0.22,0.62,0.15,0.62,,McCarron,Johnson,McCarron pass completion to the middle to Johnson for 5 yards to the ND47.
Alabama,4Q,11,116,63,3,Normal,pass,8,successful,,,0.67,0.21,0.62,0.15,0.61,,McCarron,Williams,McCarron pass completion to the right to Williams for 8 yards to the ND39.
Alabama,4Q,11,117,64,1,Normal,pass,,not successful,,,0.64,0.20,0.61,0.15,0.60,,McCarron,,McCarron incomplete pass to the middle.
Alabama,4Q,11,118,65,2,Normal,pass,7,successful,,,0.65,0.19,0.62,0.14,0.59,,McCarron,Shinn,McCarron pass completion to the left to Shinn for 7 yards to the ND32.
Alabama,4Q,11,119,66,3,Normal,run,13,successful,0.61,0.11,,,0.63,0.14,0.59,Lacy,,,Lacy rush left for 13 yards to the ND19.
Alabama,4Q,11,120,67,1,Red Zone,pass,19,explosive,,,0.67,0.22,0.63,0.15,0.58,,McCarron,Cooper, McCarron pass completion to the middle to Cooper for 19 yards for a TOUCHDOWN.
Notre Dame,4Q,10,122,45,1,Normal,pass,,not successful,,,0.48,0.15,0.44,0.12,0.33,,Golson,,Golson incomplete pass to the left.
Notre Dame,4Q,10,123,46,2,Normal,pass,10,successful,,,0.50,0.14,0.45,0.12,0.32,,Golson,Daniels,Golson pass completion to the left to Daniels for 10 yards to the ND35.
Notre Dame,4Q,10,124,47,1,Normal,pass,,not successful,,,0.48,0.14,0.44,0.12,0.31,,Golson,,Golson incomplete pass to the left.
Notre Dame,4Q,10,125,48,2,Normal,pass,9,successful,,,0.50,0.13,0.45,0.11,0.30,,Golson,Jones,Golson pass completion to the right to Jones for 9 yards to the ND44.
Notre Dame,4Q,10,126,49,3,Normal,pass,13,successful,,,0.52,0.13,0.47,0.11,0.30,,Golson,Eifert,Golson pass completion to the right to Eifert for 13 yards to the Ala43.
