team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,3,30,14,3,run,3,successful,0.80,,0.71,0.36,N.Harris,,,I.Simmons,T.Lamar,0.5,0.5,"22-N.Harris to CLE 9 for 3 yards (11-I.Simmons,57-T.Lamar)."
Alabama,1Q,3,31,15,1,run,8,successful,0.83,,0.73,0.40,N.Harris,,,T.Mullen,,1,,22-N.Harris to CLE 1 for 8 yards (1-T.Mullen).
Alabama,1Q,3,32,16,2,pass,1,successful,,0.70,0.75,0.38,,T.Tagovailoa,H.Hentges,,,,, 13-T.Tagovailoa complete to 84-H.Hentges. 84-H.Hentges runs 1 yard for a touchdown.
Clemson,1Q,4,35,10,1,pass,,not successful,,0.17,0.25,0.25,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence incomplete. Intended for 13-H.Renfrow.
Clemson,1Q,4,36,11,2,run,-4,not successful,0.33,,0.22,0.33,T.Etienne,,,L.Ray,M.Wilson,0.5,0.5,"9-T.Etienne to CLE 21 for -4 yards (89-L.Ray,30-M.Wilson)."
Clemson,1Q,4,37,12,3,pass,,not successful,,0.14,0.20,0.30,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence incomplete. Intended for 13-H.Renfrow.
Alabama,1Q,4,39,17,1,pass,12,successful,,0.73,0.76,0.35,,T.Tagovailoa,J.Jeudy,T.Mullen,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at CLE 40 for 12 yards (1-T.Mullen).
Alabama,1Q,4,40,18,1,run,13,successful,0.86,,0.78,0.39,N.Harris,,,I.Simmons,,1,,22-N.Harris to CLE 27 for 13 yards (11-I.Simmons).
Alabama,1Q,4,41,19,1,pass,12,successful,,0.75,0.79,0.37,,T.Tagovailoa,J.Jeudy,I.Simmons,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to CLE 15 for 12 yards (11-I.Simmons).
Alabama,1Q,4,42,20,1,run,6,successful,0.88,,0.80,0.40,D.Harris,,,A.Terrell,,1,,34-D.Harris to CLE 9 for 6 yards (8-A.Terrell).
Alabama,1Q,4,43,21,2,run,1,not successful,0.78,,0.76,0.43,D.Harris,,,A.Huggins,A.Bryant,0.5,0.5,"34-D.Harris to CLE 8 for 1 yard (67-A.Huggins,7-A.Bryant)."
Alabama,1Q,4,44,22,3,run,2,not successful,0.70,,0.73,0.45,D.Harris,,,A.Huggins,,1,,34-D.Harris to CLE 6 for 2 yards (67-A.Huggins).
Alabama,1Q,4,45,23,4,run,4,successful,0.73,,0.74,0.48,J.Jacobs,,,T.Lamar,A.Huggins,0.5,0.5,"8-J.Jacobs to CLE 2 for 4 yards (57-T.Lamar,67-A.Huggins)."
Alabama,1Q,4,46,24,1,run,1,successful,0.75,,0.75,0.50,D.Harris,,,A.Bryant,,1,,34-D.Harris to CLE 1 for 1 yard (7-A.Bryant).
Alabama,1Q,4,48,26,2,pass,3,not successful,,0.69,0.72,0.48,,T.Tagovailoa,H.Ruggs,I.Simmons,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to CLE 3 for 3 yards (11-I.Simmons).
Alabama,2Q,5,49,27,3,pass,-4,not successful,,0.64,0.69,0.46,,T.Tagovailoa,D.Harris,A.Bryant,,1,,13-T.Tagovailoa complete to 34-D.Harris. 34-D.Harris to CLE 7 for -4 yards (7-A.Bryant).
Clemson,2Q,5,52,14,1,pass,15,successful,,0.25,0.27,0.27,,T.Lawrence,T.Higgins,,,,,"16-T.Lawrence incomplete. Intended for 5-T.Higgins. Penalty on BAMA 4-S.Smith, Pass interference, 15 yards, enforced at CLE 35. No Play."
Clemson,2Q,5,53,15,1,pass,26,explosive,,0.33,0.33,0.25,,T.Lawrence,T.Feaster,R.Davis,,1,,16-T.Lawrence complete to 28-T.Feaster. 28-T.Feaster to BAMA 24 for 26 yards (99-R.Davis).
Clemson,2Q,5,54,16,1,run,1,not successful,0.25,,0.31,0.31,T.Lawrence,,,D.Moses,M.Wilson,0.5,0.5,"16-T.Lawrence scrambles to BAMA 23 for 1 yard (32-D.Moses,30-M.Wilson)."
Clemson,2Q,5,55,17,2,run,4,not successful,0.20,,0.29,0.36,T.Feaster,,,R.Davis,I.Buggs,0.5,0.5,"28-T.Feaster to BAMA 19 for 4 yards (99-R.Davis,49-I.Buggs)."
Clemson,2Q,5,56,18,3,pass,14,successful,,0.40,0.33,0.33,,T.Lawrence,T.Higgins,X.McKinney,,1,,16-T.Lawrence complete to 5-T.Higgins. 5-T.Higgins pushed ob at BAMA 5 for 14 yards (15-X.McKinney).
Clemson,2Q,5,57,19,1,run,4,successful,0.33,,0.38,0.38,T.Etienne,,,M.Wilson,,1,,9-T.Etienne to BAMA 1 for 4 yards (30-M.Wilson).
Clemson,2Q,5,58,20,2,run,1,successful,0.43,,0.41,0.41,T.Etienne,,,,,,, 9-T.Etienne runs 1 yard for a touchdown.
Alabama,2Q,6,61,29,1,run,7,successful,0.77,,0.70,0.48,J.Jacobs,,,A.Huggins,,1,,8-J.Jacobs to BAMA 32 for 7 yards (67-A.Huggins).
Alabama,2Q,6,62,30,2,run,2,not successful,0.71,,0.68,0.50,J.Jacobs,,,N.Turner,,1,,8-J.Jacobs to BAMA 34 for 2 yards (24-N.Turner).
Alabama,2Q,6,63,31,3,run,0,not successful,0.67,,0.66,0.52,J.Jacobs,,,X.Thomas,,1,,8-J.Jacobs to BAMA 34 for no gain (3-X.Thomas).
Alabama,2Q,6,64,32,4,run,3,successful,0.69,,0.67,0.53,J.Jacobs,,,J.Davis,N.Turner,0.5,0.5,"8-J.Jacobs to BAMA 37 for 3 yards (36-J.Davis,24-N.Turner)."
Alabama,2Q,6,65,33,1,run,8,successful,0.71,,0.68,0.55,J.Jacobs,,,N.Turner,,1,,8-J.Jacobs to BAMA 45 for 8 yards (24-N.Turner).
Alabama,2Q,6,66,34,2,run,11,successful,0.72,,0.69,0.56,J.Jacobs,,,K.Wallace,,1,,8-J.Jacobs to CLE 44 for 11 yards (12-K.Wallace).
Alabama,2Q,6,67,35,1,pass,,not successful,,0.60,0.67,0.55,,T.Tagovailoa,J.Jeudy,,,,,"13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy, INTERCEPTED by 1-T.Mullen at CLE 7. 1-T.Mullen runs ob at BAMA 47 for 46 yards."
Clemson,2Q,6,68,21,1,run,3,not successful,0.38,,0.39,0.44,T.Etienne,,,Q.Williams,,1,,9-T.Etienne to BAMA 44 for 3 yards (92-Q.Williams).
Clemson,2Q,6,69,22,2,pass,5,successful,,0.45,0.42,0.42,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence complete to 13-H.Renfrow. 13-H.Renfrow to BAMA 39 for 5 yards.
Clemson,2Q,6,70,23,3,pass,5,successful,,0.50,0.45,0.40,,T.Lawrence,H.Renfrow,P.Surtain,,1,,16-T.Lawrence complete to 13-H.Renfrow. 13-H.Renfrow to BAMA 34 for 5 yards (2-P.Surtain).
Clemson,2Q,6,71,24,1,pass,,not successful,,0.46,0.43,0.38,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,2Q,6,72,25,2,pass,3,not successful,,0.43,0.41,0.36,,T.Lawrence,T.Feaster,I.Buggs,,1,,16-T.Lawrence complete to 28-T.Feaster. 28-T.Feaster to BAMA 31 for 3 yards (49-I.Buggs).
Clemson,2Q,6,73,26,3,pass,26,explosive,,0.47,0.43,0.35,,T.Lawrence,A.Rodgers,S.Smith,,1,,16-T.Lawrence complete to 3-A.Rodgers. 3-A.Rodgers to BAMA 5 for 26 yards (4-S.Smith).
